"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"4777",18,20,18,18,0.163318752790302,0.0399999999999991,0,0
"9105",21,21,21,22,0.163320634229091,0.0599999999999881,0,0
"393",15,20,20,16,0.163324903142788,0.0499999999999998,0,0
"3339",17,24,23,25,0.16333100061889,0.0799999999999983,0,0
"3340",17,23,25,20,0.16333286384486,0.0799999999999983,0,0
"6307",19,23,20,17,0.163342237827034,0.0799999999999983,0,0
"7671",20,16,23,16,0.163344352439407,0.0500000000000043,0,0
"4778",18,25,21,24,0.163349749241533,0.0799999999999983,0,0
"394",15,19,21,NA,0.163355483961964,0.0299999999999999,0,0
"4779",18,20,18,17,0.163361111600608,0.0700000000000003,0,0
"395",15,19,22,19,0.163364293649159,0.0499999999999998,0,0
"13430",24,18,19,24,0.16337753193653,0.0799999999999983,0,0
"6308",19,15,17,24,0.163383374034786,0.0599999999999952,0,0
"3341",17,23,16,15,0.163389988573306,0.0600000000000023,0,0
"7672",20,17,22,23,0.163393366962983,0.0600000000000023,0,0
"9106",21,24,20,19,0.163395438613816,0.0599999999999881,0,0
"396",15,21,23,19,0.163400640827906,0.0800000000000001,0,0
"397",15,17,20,25,0.163405167590565,0.0800000000000001,0,0
"3342",17,20,21,19,0.163412262776839,0.0499999999999972,0,0
"12039",23,23,20,22,0.163413611948182,0.0600000000000023,0,0
"398",15,25,17,19,0.16341957414965,0.0600000000000005,0,0
"7673",20,16,22,18,0.163424456501194,0.0599999999999952,0,0
"399",15,21,23,21,0.163430023073965,0.0600000000000005,0,0
"9107",21,15,21,23,0.163437950702384,0.0599999999999881,0,0
"12040",23,15,23,16,0.16343923543712,0.0699999999999932,0,0
"13431",24,19,18,20,0.163443505974801,0.0500000000000114,0,0
"14854",25,15,25,15,0.163444478418355,0.0600000000000023,0,0
"3343",17,18,15,16,0.163445464205026,0.0599999999999987,0,0
"3344",17,21,21,21,0.163447667261546,0.0600000000000023,0,0
"3345",17,23,24,25,0.163448626991701,0.0600000000000023,0,0
"400",15,17,20,23,0.163453705325508,0.0499999999999998,0,0
"14855",25,21,15,22,0.163456207082511,0.0799999999999841,0,0
"6309",19,23,25,20,0.163463919598506,0.0700000000000003,0,0
"10381",22,16,16,19,0.163466077478368,0.0599999999999881,0,0
"4780",18,15,19,22,0.163468827868966,0.0600000000000023,0,0
"1718",16,15,24,23,0.163469935081727,0.0500000000000007,0.01,0
"3346",17,25,25,16,0.163471399668046,0.100000000000001,0,0
"7674",20,19,25,16,0.16347469507216,0.0800000000000125,0,0
"13432",24,15,15,21,0.163477235859171,0.0799999999999983,0,0
"12041",23,17,22,16,0.163477571074987,0.0800000000000125,0,0
"1719",16,18,21,21,0.163482831775893,0.0700000000000003,0,0
"401",15,18,22,19,0.163492878662567,0.04,0,0
"6310",19,24,20,19,0.163494903295506,0.0700000000000003,0,0
"3347",17,23,15,22,0.16349688485854,0.0300000000000011,0,0
"3348",17,20,18,19,0.163497891994173,0.0800000000000018,0,0
"402",15,18,20,24,0.163499757496933,0.0299999999999998,0,0
"14856",25,16,22,20,0.163500369346014,0.0499999999999972,0,0
"3349",17,15,25,25,0.163500435080247,0.0800000000000018,0,0
"12042",23,24,23,15,0.163501301142305,0.0600000000000023,0,0
"3350",17,19,25,24,0.163501699662463,0.0600000000000023,0,0
"403",15,18,19,19,0.16350474911289,0.0600000000000001,0,0
"404",15,21,21,16,0.163506498616041,0.0800000000000001,0,0
"12043",23,22,25,20,0.16350772617346,0.0499999999999972,0,0
"405",15,21,19,16,0.163509954587902,0.0499999999999998,0,0
"7675",20,20,25,17,0.163513489713848,0.0600000000000023,0,0
"406",15,24,15,15,0.163515180729037,0.0500000000000007,0,0
"407",15,19,20,25,0.163515256330907,0.0699999999999994,0,0
"408",15,18,15,22,0.163517159963209,0.04,0,0
"13433",24,22,15,21,0.163530910264129,0.0499999999999972,0,0
"3351",17,20,19,17,0.163533581868212,0.0399999999999991,0,0
"4781",18,24,16,19,0.16354143788567,0.0599999999999952,0,0
"14857",25,23,16,23,0.163541914780219,0.0799999999999841,0,0
"1720",16,23,24,16,0.163547110939532,0.0799999999999983,0,0
